GEOID,RPL_EBM
17031220702,0.861
17031222900,0.8511
17031231100,0.8831
17031240600,0.6439
17031242400,0.8078
17031251000,0.8053
17031251500,0.8163
17031271200,0.7742
17031840800,0.8854
17031841300,0.9186
17031842100,0.9529
17037001700,0.4745
17015960100,0.3569
17017960400,0.1849
17019005800,0.6698
17021958500,0.9649
17025972000,0.6137
17029000200,0.5213
17029001200,0.5738
17031020500,0.776
17031030101,0.7314
17031032100,0.6531
17031040100,0.9149
17031040202,0.7734
17083010300,0.2285
17089850105,0.1105
17089850703,0.1779
17089853100,0.4022
17089853900,0.7042
17089854302,0.4781
17091010701,0.467
17093890501,0.2875
17031824003,0.7336
17031825501,0.705
17031828802,0.6049
17089852407,0.0768
17089852805,0.8283
17089853008,0.6839
17089854505,0.2387
17089854600,0.744
17091010900,0.4845
17093890703,0.4301
17095000400,0.2199
17095000600,0.6172
17097860807,0.2984
17097860813,0.5935
17097860907,0.4032
17097861011,0.4694
17031825000,0.7262
17031825700,0.963
17031825803,0.4741
17031150200,0.9349
17031151001,0.7753
17031170500,0.6107
17031191200,0.857
17031210400,0.8641
17031210502,0.8521
17031210800,0.8649
17031220500,0.8232
17031240800,0.6767
17031241100,0.6979
17031243100,0.9307
17031260100,0.929
17031280800,0.8063
17031282700,0.7583
17031310400,0.8581
17031330101,0.5418
17031390100,0.4585
17031390700,0.4825
17031431302,0.7516
17031460400,0.8253
17031461000,0.7235
17031480200,0.81
17031490200,0.845
17031491100,0.5179
17061974000,0.2942
17081050300,0.6139
17083010200,0.2846
17093890201,0.6342
17093890701,0.0593
17097860106,0.5421
17097860400,0.4527
17097860908,0.5542
17097861505,0.5119
17097861702,0.7101
17097865400,0.7923
17099962500,0.6382
17099963100,0.9235
17099963700,0.6488
17099963800,0.8979
17107953000,0.4002
17107953200,0.8344
17107953400,0.5948
17109011000,0.6211
17111870103,0.6059
17111870907,0.4749
17111871003,0.8004
17111871311,0.6203
17113001402,0.4154
17113005401,0.4172
17113005900,0.3695
17115000200,0.8936
17049950400,0.4771
17055040300,0.3738
17055040700,0.5116
17031220901,0.8718
17031241200,0.7457
17031242300,0.8459
17031250200,0.8753
17031252101,0.7831
17031261000,0.9642
17031381500,0.7224
17031430102,0.4267
17031440102,0.8206
17031440800,0.8311
17031460800,0.655
17031480500,0.7827
17031490700,0.5286
17031490902,0.8772
17031491000,0.7468
17031500300,0.9149
17031530503,0.7715
17031560300,0.977
17031560700,0.9878
17031580300,0.9294
17031590700,0.9513
17031612200,0.958
17031620100,0.9874
17031630600,0.9559
17031802200,0.7393
17031802506,0.923
17031802802,0.6955
17031803611,0.4761
17031804313,0.2735
17031804403,0.2468
17031804803,0.8334
17031805702,0.9115
17031808301,0.9149
17031808600,0.8041
17031808800,0.9072
17031809000,0.3675
17031811702,0.9526
17031060900,0.7115
17031062300,0.6079
17031062900,0.7779
17089851904,0.5537
17089852002,0.9785
17089852201,0.6747
